DATE,EU.Delta
4/1/1995,0.579703524
7/1/1995,0.451043678
10/1/1995,0.40408603
1/1/1996,0.197777494
4/1/1996,0.724986575
7/1/1996,0.569987912
10/1/1996,0.348295604
1/1/1997,0.513913331
4/1/1997,1.253050093
7/1/1997,0.666535081
10/1/1997,1.003556166
1/1/1998,0.653100914
4/1/1998,0.492817989
7/1/1998,0.663991459
10/1/1998,0.350148513
1/1/1999,0.751835454
4/1/1999,0.6732619
7/1/1999,1.231679788
10/1/1999,1.177274322
1/1/2000,1.171406998
4/1/2000,0.974863723
7/1/2000,0.454356699
10/1/2000,0.5618452
1/1/2001,0.918677585
4/1/2001,0.171457133
7/1/2001,0.257441689
10/1/2001,0.228302035
1/1/2002,0.185407197
4/1/2002,0.664823624
7/1/2002,0.387034264
10/1/2002,0.255714192
1/1/2003,0.138496201
4/1/2003,0.286769192
7/1/2003,0.655827057
10/1/2003,0.853193756
1/1/2004,0.627915493
4/1/2004,0.526693004
7/1/2004,0.355847463
10/1/2004,0.443689908
1/1/2005,0.289399947
4/1/2005,0.884674431
7/1/2005,0.693107261
10/1/2005,0.748356223
1/1/2006,0.907881422
4/1/2006,1.022457268
7/1/2006,0.61839529
10/1/2006,1.042833539
1/1/2007,0.904747766
4/1/2007,0.596048229
7/1/2007,0.753227442
10/1/2007,0.501403016
1/1/2008,0.470668827
4/1/2008,-0.373627078
7/1/2008,-0.753730197
10/1/2008,-1.803402857
1/1/2009,-2.573450661
4/1/2009,-0.275357312
7/1/2009,0.370523859
10/1/2009,0.460064295
1/1/2010,0.501486625
4/1/2010,0.998981596
7/1/2010,0.46874545
10/1/2010,0.342421956
1/1/2011,0.664859072
4/1/2011,0.237121449
7/1/2011,0.216452733
10/1/2011,-0.249613539
1/1/2012,-0.043939801
4/1/2012,-0.194496716
7/1/2012,0.070490743
10/1/2012,-0.495434974
1/1/2013,-0.063112088
