DATE,UKGDP
1/1/1955,107263
4/1/1955,107398
7/1/1955,109591
10/1/1955,109050
1/1/1956,110201
4/1/1956,109919
7/1/1956,109859
10/1/1956,110336
1/1/1957,112513
4/1/1957,112481
7/1/1957,111780
10/1/1957,111969
1/1/1958,114280
4/1/1958,111698
7/1/1958,114160
10/1/1958,114288
1/1/1959,114860
4/1/1959,116749
7/1/1959,119239
10/1/1959,122245
1/1/1960,125247
4/1/1960,124335
7/1/1960,126225
10/1/1960,126992
1/1/1961,129056
4/1/1961,129591
7/1/1961,128912
10/1/1961,128694
1/1/1962,129273
4/1/1962,130521
7/1/1962,131297
10/1/1962,130815
1/1/1963,131549
4/1/1963,137141
7/1/1963,137783
10/1/1963,140891
1/1/1964,141748
4/1/1964,144191
7/1/1964,144765
10/1/1964,146973
1/1/1965,146558
4/1/1965,146678
7/1/1965,147917
10/1/1965,148822
1/1/1966,149072
4/1/1966,149911
7/1/1966,150424
10/1/1966,149804
1/1/1967,151844
4/1/1967,153930
7/1/1967,154649
10/1/1967,155456
1/1/1968,161113
4/1/1968,160428
7/1/1968,163618
10/1/1968,164280
1/1/1969,163917
4/1/1969,165073
7/1/1969,166036
10/1/1969,166893
1/1/1970,165838
4/1/1970,169756
7/1/1970,171401
10/1/1970,172905
1/1/1971,171908
4/1/1971,174944
7/1/1971,178004
10/1/1971,178700
1/1/1972,178900
4/1/1972,183665
7/1/1972,184154
10/1/1972,187051
1/1/1973,196348
4/1/1973,196607
7/1/1973,194730
10/1/1973,193898
1/1/1974,188603
4/1/1974,191332
7/1/1974,192567
10/1/1974,189755
1/1/1975,189858
4/1/1975,186727
7/1/1975,186110
10/1/1975,188217
1/1/1976,191244
4/1/1976,190920
7/1/1976,193296
10/1/1976,197392
1/1/1977,197523
4/1/1977,196076
7/1/1977,197433
10/1/1977,200857
1/1/1978,202577
4/1/1978,205036
7/1/1978,207797
10/1/1978,209701
1/1/1979,208860
4/1/1979,218120
7/1/1979,213354
10/1/1979,215599
1/1/1980,213480
4/1/1980,209258
7/1/1980,208968
10/1/1980,206756
1/1/1981,206419
4/1/1981,206920
7/1/1981,209178
10/1/1981,209414
1/1/1982,209751
4/1/1982,212110
7/1/1982,212670
10/1/1982,214169
1/1/1983,218038
4/1/1983,219905
7/1/1983,222323
10/1/1983,224254
1/1/1984,225790
4/1/1984,223826
7/1/1984,225278
10/1/1984,229745
1/1/1985,231659
4/1/1985,236615
7/1/1985,236831
10/1/1985,237414
1/1/1986,240112
4/1/1986,241881
7/1/1986,242966
10/1/1986,247280
1/1/1987,249537
4/1/1987,253182
7/1/1987,259331
10/1/1987,262296
1/1/1988,267034
4/1/1988,268660
7/1/1988,272785
10/1/1988,275150
1/1/1989,276356
4/1/1989,278165
7/1/1989,278427
10/1/1989,278670
1/1/1990,280536
4/1/1990,281973
7/1/1990,279018
10/1/1990,278060
1/1/1991,277253
4/1/1991,276891
7/1/1991,276240
10/1/1991,276675
1/1/1992,276661
4/1/1992,276313
7/1/1992,278066
10/1/1992,280003
1/1/1993,282033
4/1/1993,283448
7/1/1993,285728
10/1/1993,287688
1/1/1994,291179
4/1/1994,294553
7/1/1994,297883
10/1/1994,299529
1/1/1995,300454
4/1/1995,301602
7/1/1995,304758
10/1/1995,305984
1/1/1996,309250
4/1/1996,310103
7/1/1996,311412
10/1/1996,312944
1/1/1997,315943
4/1/1997,319596
7/1/1997,321475
10/1/1997,325588
1/1/1998,327471
4/1/1998,329347
7/1/1998,331661
10/1/1998,335048
1/1/1999,337294
4/1/1999,337547
7/1/1999,343693
10/1/1999,348449
1/1/2000,351979
4/1/2000,354546
7/1/2000,355557
10/1/2000,356094
1/1/2001,360749
4/1/2001,363235
7/1/2001,365696
10/1/2001,367157
1/1/2002,368690
4/1/2002,371397
7/1/2002,374205
10/1/2002,377469
1/1/2003,380565
4/1/2003,384014
7/1/2003,387841
10/1/2003,391048
1/1/2004,393247
4/1/2004,395113
7/1/2004,395867
10/1/2004,398259
1/1/2005,400558
4/1/2005,404875
7/1/2005,409270
10/1/2005,414816
1/1/2006,416183
4/1/2006,417146
7/1/2006,417741
10/1/2006,419236
1/1/2007,423472
4/1/2007,426600
7/1/2007,429845
10/1/2007,433079
1/1/2008,433710
4/1/2008,430887
7/1/2008,423618
10/1/2008,414037
1/1/2009,407291
4/1/2009,406353
7/1/2009,406641
10/1/2009,408298
1/1/2010,410542
4/1/2010,414699
7/1/2010,417024
10/1/2010,417507
1/1/2011,419828
4/1/2011,420109
7/1/2011,421918
10/1/2011,422965
1/1/2012,424834
4/1/2012,424468
7/1/2012,429319
10/1/2012,428321
1/1/2013,431025
4/1/2013,433271
7/1/2013,436560
10/1/2013,438707
1/1/2014,442425
4/1/2014,446519
7/1/2014,450141
10/1/2014,453891
1/1/2015,455086
4/1/2015,457002
7/1/2015,459006
10/1/2015,462139
1/1/2016,464212
