"Figure 3: Proportion of UK exports accounted for by importing country, 2005 to 2015, current prices",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes,,,,,,,,,
Unit,%,,,,,,,,
,,,,,,,,,
,United States,Germany,France,Netherlands,Irish Republic,Switzerland,China,Belgium and Luxembourg,Italy
2005,16.40456088,9.777405387,7.960731006,5.907634075,6.921585056,2.98794743,1.348516719,4.50257516,3.800924597
2006,16.39177717,9.717978517,9.474002868,6.320790779,6.278460619,2.628061561,1.355847847,4.74123445,3.499293215
2007,16.91374858,9.490257275,7.108497989,6.407841468,7.051226477,2.664438857,1.529517159,4.876485316,3.466765447
2008,16.23954373,9.486692015,6.673003802,7.079610266,6.843868821,2.562262357,1.875475285,4.844819392,3.180608365
2009,16.78282904,8.791710573,6.685985248,7.066837272,6.309900146,3.113302223,1.871895228,4.493953535,3.322294144
2010,15.88302946,8.827931409,6.656958883,7.474618347,6.224834971,3.057951868,2.308712023,4.506917359,3.074831708
2011,15.84689338,9.130218698,6.636793317,7.491342832,5.97560902,2.807719317,2.550972158,4.764510943,3.048771899
2012,16.79485356,8.83577987,6.503573139,7.200169892,5.779729575,2.98272432,2.800411106,4.25130374,2.645144358
2013,17.6289791,8.241410087,6.260890731,6.889510511,5.287824404,3.208974542,3.398487758,3.90733364,2.81372068
2014,16.46464212,8.775266098,6.032983227,7.132945311,5.353617875,4.085573454,3.662240498,3.492594605,3.181446837
2015,19.70902201,8.796757651,6.304064532,5.764524822,5.127101404,3.88429281,3.206379345,3.450105844,3.286376671
